CODIGO;A„O ESCOLAR;GRADO;ASIGNATURA;NUMERO DE PERIODO;RESULTADO
20022028;2017-2018;12;Matematicas;1;89
20022028;2017-2018;12;Matematicas;2;84
20022028;2017-2018;12;Matematicas;3;82
20022028;2017-2018;12;Matematicas;4;80
20022028;2017-2018;12;Fisica;1;85
20022028;2017-2018;12;Fisica;2;77
20022028;2017-2018;12;Fisica;3;88
20022028;2017-2018;12;Fisica;4;85
20022028;2017-2018;12;Quimica;1;84
20022028;2017-2018;12;Quimica;2;80
20022028;2017-2018;12;Quimica;3;84
20022028;2017-2018;12;Quimica;4;83
20022028;2017-2018;12;Ciencias Sociales;1;90
20022028;2017-2018;12;Ciencias Sociales;2;92
20022028;2017-2018;12;Ciencias Sociales;3;91
20022028;2017-2018;12;Ciencias Sociales;4;91
20022028;2017-2018;12;Economia;1;92
20022028;2017-2018;12;Economia;2;91
20022028;2017-2018;12;Economia;3;95
20022028;2017-2018;12;Economia;4;95
20022028;2017-2018;12;Espa–ol;1;84
20022028;2017-2018;12;Espa–ol;2;86
20022028;2017-2018;12;Espa–ol;3;85
20022028;2017-2018;12;Espa–ol;4;85
20022028;2017-2018;12;Estadistica;1;83
20022028;2017-2018;12;Estadistica;2;93
20022028;2017-2018;12;Estadistica;3;93
20022028;2017-2018;12;Estadistica;4;78
20022028;2017-2018;12;Filosofia;1;88
20022028;2017-2018;12;Filosofia;2;93
20022028;2017-2018;12;Filosofia;3;93
20022028;2017-2018;12;Filosofia;4;87
20022028;2017-2018;12;Ingles;1;94
20022028;2017-2018;12;Ingles;2;100
20022028;2017-2018;12;Ingles;3;100
20022028;2017-2018;12;Ingles;4;100
20022028;2017-2018;12;Disciplina;1;98
20022028;2017-2018;12;Disciplina;2;97
20022028;2017-2018;12;Disciplina;3;100
20022028;2017-2018;12;Disciplina;4;100
20022049;2017-2018;12;Matematicas;1;77
20022049;2017-2018;12;Matematicas;2;69
20022049;2017-2018;12;Matematicas;3;78
20022049;2017-2018;12;Matematicas;4;75
20022049;2017-2018;12;Fisica;1;77
